review	rating
going , stayed diamond palace hotel casino summer great time , room clean amenities hotel , hotel staff pleasant polite , small problem/question went desk spoke employees young lady named niomi helpful man named edwin , did best help solve problem accomodations called assistant manager hotel , manager named ms . mildred rodriguez went make sure stay hotel anticipated , suggested fine restaurants area sightseeing places metro area countryside towns , el yunque rain forest beautiful places visited , just breathtaking , family pleased way employees presented hotel , going holidays definitely staying diamond palace , recommended hotel co-workers friends	5
not good motel disappointment , desk clerk not friendly helpful room load smelled kind moldy , on-line photo looked promising inside sub par	1
like 2-1/2 star hotel grounds beach nice , best say , room changed just like half people met , not friendly staff , shelf liquor bartenders drinking , open air restaurants flies ants birds taking food buffet tables , small pool rooms , felt like ground hog day food entertainment .i not recommend resort	1
loved sullivans great location exploring sydney surrounding area convenient buses great walking easy quick access town ferries bondi southern beaches direction .very friendly helpful staff , appreciated free internet access laundry facilities .rooms simple clean adequate use not spending day room sydney .we appreciated pool hot day exploring sydney	5
great boyfriend stayed millenium hilton weekend celebrate valentine experience great , stayed 52nd floor view amazing romantic , staff polite prompt , area busy daytime took walk evening quite pleasent , plasma tv nice touch bed comfortable , pleased stay	4
nice hotel stayed hotel 2 days 19 20 nov . location great connected raffles city big mall mrt station convenient room clean tidy , room 54th floor , fantastic view , select not dine hotel expensive restaurant/food stalls raffles city , breakfast expensive 40ss person , food just , general good hotel stay	5
great room stay stayed nights business trip great hotel great room great food near	5
beautiful view corner deluxe room 20th floor waikiki hotel choices helps spend little time deciding important , decided priorities getting clean quiet room great view beach good sized room bathroom avoiding congestion construction areas , booked corner deluxe room marriott pleased , price garden view room royal hawaiian ocean view room outrigger reef outrigger beach great view 20th floor large room waikiki standards , best points hotel corner deluxe rooms especially high floors lanai facing hotel view ocean large window covering oceanfront wall , views fabulous , better lanai strangely k tower closest beach does not facing lanais maybe floor , corner deluxe rooms unusually large waikiki rooms , room clean beds exceptional pillows down-filled mattress pad , hotel end waikiki hotels street beach view really ocean not adjacent hotels , diamondhead end easy hotel h1 major roads , air conditioning works did not hear noise room , staff friendly , like major hotels abc shop lobby plus variety shops , no views main restaurant dinner twice food perfectly acceptable , unlike reviewers wait long elevator .the positive resortquest hotel door blocks views diamondhead live music pool breakfast evenings , high floor ran air conditioning night did n't disturb lower floor lanai doors open problem , parking garage horrible probably true waikiki , turns tight traffic goes ways , use mirrors mounted columns cars coming usually car allow pass , valet easier husband hates car time leave , plus parking space , bathroom adequate not luxurious strangely light vanity area bathroom bathroom night turning light disturb spouse .overall pleased marriott certainly return especially corner deluxe room good value price , negatives stated reviews true virtually waikiki hotels , definitely place pays research having stayed number hotels area think hotel good choice , want end don__Ç_é_ necessarily require great ocean view waikiki parc sister hotel halekulani good choice	4
great hotel just returned hotel stayed 24 .08 3 nights originally booked 2 petite double rooms tight budget cost room 3 nights booked january think got better rate booked direct hotel , got taxi airport hotel 28 euros .when checked given champagne free nice suprise partners birthday upgraded large room 620 terrace great table chairs sit night wasnt view room clean modern flat screen tv english channels leave air day lovely cool , no tea coffee facilities room 3 euro day safe deposit box 2 euro stay think , friends stayed room 103 petite double really small room room quite near reception room 320 gravina 11 2 lifts bit trek .its location excellent easily walk las ramblas harbour catch tourist/airport buses place catalunya square airport bus busy cheap come 5 minutes .breakfast 17 euros didnt hotel did drinks bar expensive .overall think hotel great location staff friendly spoke english , hotel clean not tired looking scruffy good 3 star hotel	4
ocean villas worth paying extra family stayed ocean villas grounds rio mar beach resort , thought paying extra ocean worth opposed golf villas long way beach , villas 2 nice pools lap pool swimmers , main hotel short walk kids come pleased , drawback resort quiet did not kids , movie night no planned activities kids , lifeguards beach resort rarely duty backs ocean .before booking looked nearby oceanfront properties .from saw walks beach places resort grounds looked horrible	4
love chocolate pillow , definately worth price , bathrobes chocolates classy place , renovations drilling early hammering closed pool damper things staff accomadating , definately going year , renovations completed	4
checked early , website sounded like great deal good central location , supposedly guaranteed late arrival king non-smoking room , arrived 10 pm no free parking spots seen luckily spot street 1 person working busy desk , quite wait told room left smoking 2 doubles despite guarantee confirmed , given hour took , room clean hallway did smell smoke , addition sofabed springs poking not 8 year old sleep , offer sofabed not usable , finally not hotel fault room overlooking lumberyard way began working tractors heavy machinery 5 , offered possibiltity changing rooms later day chose town lovely quieter doubletree expo center right water , roundtree n't guarantee usable sofabed street construction hotel , sleepless night , complementary breakfast nice little room sit dining area , not recommend hotel unless really need area , perfect location need boston medical center deal noise	1
nice hotel limited wife kids 22 14 just returned week hotel , encountered days rainy weather wo n't let affect hotel review , overall hotel fine room clean staff friendly helpful nice pool , definite limitations wish know , beachfront small equivalent block long , second anytime want travel east e .g . fajardo el yunque pass san juan going coming traffic awful , no water sports lesiure activities hotel golf tennis , plus breakfast included fine filling free happy hour drinks 5:30-7:30 enjoyed , dinner on-site restaurants so-so , visits good food good service not time , desk recommended number good restaurants nearby , provided preprinted index cards directions various tourist attractions helpful , not confident drivers advised driving pr challenge , drivers rarely use signals tailgate love cut lanes , hand saw single accident appears natives accustomed style driving	3
loved stay husband spent 3 nights , enjoyed stay , short walk train station walkable hotel , breakfast not great , staff great helpful rooms clean perfect	4
good value money flew san francisco london christmas stay parents sacramento , time flying 11 month old infant , drive straight 10 hour flight decided relax san francisco , chose hotel location wharf free parking price , considering hotel good location free parking great value money , staff friendly room clean , downside room right lombard street , curtains muffled traffic noise pretty extremely jet lagged slept , recommend place quick stop sf , convenient	4
great escape resort close perfect , sweeping palm tree lined entrance beautiful golf courses , rooms large clean quiet excellent views , pool areas beautiful large hot tubs plenty space enjoy privacy water warm clean , husband golfed faldo course great experience , did n't opportunity eat resort did advantage nearby restaurants , great shooping nearby , loved resort ca n't wait return	5
comfortable stay visited hilton garden located gravier street , location good especially want walk harrah's .it maybe blocks hotel , visit canal place shopping center , upscale center lots brand designers , convention center not far point , opposite direction walk french quarters , gravier narrow street cars through .my room plesant hilton not gotten hotel upgrade bedding enjoyed previous hilton hotels stays , staff said working , breakfast lunch served hotel , places walk dinner especially weekends .the lobby located 11th floor , hotel cbd/french quarters fee parking car , did not car noticed valet parking cars .now staff pet peeve , desk helpful , not request did not answer great customer care skills , stay	4
unusual good experience stayed hotel max 9 days conference early june extremely good value , reason chose hotel primarily price location easy walking distance convention center , price n't think better hotel downtown seattle .the hotel fun modern decor staff friendly intelligent helpful uniformly young nearly 40 years , rooms quite small not size doubles room clean , beds extremely comfortable rooms surprisingly quiet , bathroom clean modern not figure drain sink thought malfunctioning quick visit maintenance showed just n't hip figure , bad thing shower curtain smelled mildew .some helpful amenities hotel include nice business center small equipped gym second floor , business center couple computers printer guests internet service rooms requires extra fee , gym quite fancy treadmills free weights .the staff flexible splitting ways sharing double room people complaint night television stopped working no apparent reason maintenance man unable fix , eventually started working no obvious reason figured wrong .we ate attached bar red fin food wine tasty , hotel nice location walking distance convention center space needle waterfront pike place market , n't miss nearby palace kitchen restaurant doughnut shop 5th avenue , yummy	5
hotel hosts make stay excellent hosts hotel barbara emmanuelle visit like staying family , extremely helpful restaraunt suggestions , nice breakfast , pleasure having dinner drink talking evening	4
bravo overrated stayed bravo 3 nights martineau bay 3 nights glad did n't stay bravo stay , ok parts hotel bravo quite pretty rooms totally overrated , beds uncomfortable hard frette linen world n't help bed cheap foam matress hard board , no proper drapes blinds seaview room 5 6 strips white cloth not pull right outside window terrace guests restaurant eat , n't count privacy room people stare straight , used room sleeping 6 7 sun blaring room , assume minimalist just low standard .also not use beach rocky swimming conditions bad , nobody used 3 days , staff friendly , restaurant good food , packed lunches pretty good half listed menu n't picked , martineau bay heaven stay bravo , hotel 2 pristine beaches room beautiful luxurius bathtub bedroom bathroom , rooms clean times size rooms bravo , spa really nice too .blue beach red beach amazing	2
amazing- wan na staff~ going ages 14-19 sooo fun staff ..food~ n't great edible french fries eat overall hotel clean people nice does n't matter old disco age 18 14 got just ahve watch guys come little storg just push away listen no clue people saying did n't fun time stayed 2 weeks started leaving recomend hotel	5
n't bring valuable beautiful hotel grounds huge bring walking shoes .some restraunts ok not .our biggest problems things got missing rooms .an engagment ring taken perfume clothing , not happy , hotel did nothing , said coul n't prove ring , etc . no	2
reserve internet beware site reservation cotton exchange , forewarned called ahead make sure room available , heard , speaking employees internet reservations received fax hotel time n't reservationist staff , yes did room took telephone calls lot anxiety part .the room okay , large windows let light window faced warehouse building parking garage , chase coffee pot desk cups dress night town length mirror , none vending machines tried floor , worked .on plus staff member contact polite helpful , work especially hard make mismanagement .my visit new orleans not inclulde cotton exchange	2
thought place great , group 5 couples age 25-30 went jan 5th till 12th fabulous time , food n't great im not vacation expect lavish food , staff friendly helpful , tip buck happy , room leaky ceiling day a/c w/in couple hours fixed , day 3 door broke fixed promptly , grounds clean mainained , staff provides activities beach including dancing aerobics water polo , went banana boat day lot scarier looks , went marinarium tour went snorkling nurse sharks stingrays fabulous , kinda like booze cruise , went outback safari recommend , went apple vacations helpful , definately recommend going platinum package , extra 200 person includeds free dinner fancy restarant food n't great 2 free 20 min massages ..which like 30 free cigars room close beach importatnly topshelf booze ..which helped prevent hangover ..i drank stolli week , banana royales great , definately recommend resort , warning ..there lot french travelers there ..and stigma true ..they rude people , eveyong great nice	4
hidden treasure , seasons san francisco hidden treasure , really hide hotel valet parking market street 3rd street lobby 5th floor not sorry loved loved loved it .amidst busy streets san francisco moment walk hotel elevator lobby feel like entered new world .all staff desk/valet/bell man/restaurant staff extremely professional helpful feel special , 500 nightly room rate expect not location excellent location market street close lots shopping walking distance union square shopping walking distance chinatown care venture cable car fisherman wharf close hotel , sure pay fare hop ride , 5 way wait long summer , best way experience san francisco foot cable car .room/service stayed deluxe view room 17th floor facing market st slept , rooms clean beds comfortable bathrooms beautiful l'occitane bath products , nightly turn included bottled water music room , nice come long day about .restaurant got bed breakfast package stay service excellent , food fresh hot , staff polite professional greeting entered left restaurant , nice way start day .parking prepared pay 48 nightly valet parking fee in/out privledges no parking nearby streets/ no self parking hotel drive paying parking , hotels san francisco honestly not need car san francisco unless plan venture outside san francisco , day trips monteray/pebble beach beautiful drive coast approx , 2-3 hrs way , encounter fog/rain common drive time year , check weather , ca n't say seasons understand 1 ranked hotel trip advisor frommers stars way definately return .i recommend hotel business travelers couples romantic getaway not hotel families	5
superb room central london loved , comfortable modern clean friendly service , room size better rooms stayed london , lady travelling felt like looked	5
nice modern hotel great location just returned 8 night stay madrid , room overlooking plaza santa ana 5th floor small balcony , problem rooms overlooking plaza noise hours night did use thursday friday saturday nights partying goes night long , view small balcony nice did end getting use noise 1st night , overall hotel staff helpful spoke english , helped dinner reservations cabs , area near hotel provides choices restaurants walked night tried different types food night , casual pizza place just square tour guide mentioned actually dinner nights casual no reservation needed , 9 pm place near 915 9:30 packed nights , food good right street ice cream shop grab ice cream walk area dinner , location hotel excellent major sites walked wanted 5 minutes puerto del sol 10 plaza mayor museums royal palace walking distanct , took day trips segovia toledo used le tango letango .com personal 3 hour tour , reserved 3 hour walking tour madrid day le tango , recommended site forum not disappointed , guides informative helpful provided great information help things 3 hours , used madrid vision days madrid version hop hop bus , great way different sites areas .overall hotel nice modern comfortable bed nice ammenities , expensive overall think worth , did breakfast morning hotel provided good variety hot cold foods	4
loved tuskany booked hotel silla reading reviews trip advisor web site didn__Ç_é_ regret second , lovely hotel good location , wonderful staff friendly helpful , single room small clean quiet didn__Ç_é_ spend lot time it .the breakfast buffet excellent , fall love tuscany enjoyed stay silla	4
roomy place walkable area seattle located denny way park , considerable noise police sirens nights , bedroom small just room walk bed , living area nice roomy , bathroom small no sink counter space , mirror entire hotel room sink bathroom making hard females ready morning , loved breakfast morning included hotel price , slow internet	4
great location stayed daughter hotel short city break feb 08 . great location 3 minute walk dam square , felt safe walking night hotel clean friendly room fine not small said , breakfast excellent cooked wanted , big selection breads cheese cereals juice fresh fruit yoghurts , definately recommend stay again .eat argentinian restaurant walk dam square best steak really friendly service	5
fit queen king real palace- fit queen king , feeling luxury public rooms , domed lobby/restaurant fabulous , best breakfast buffets had .incredible assortment foods beverages including sparkling wine amazing dark hot chocolate , way start day , definitely 5 stars , guestrooms not luxurious public rooms not standard room , fact need paint job , bath chipped paint carpet torn bedroom dirt marks ceiling , bedding comfortable , definitely not 5 stars .excellent location- street form pardo tourist bus thyssen museum .helpful harried concierge door staff .attentive service restaurant , good gym faciltiy little difficult	4
location location location august 07 mom stayed hotel 8 days , greeted friendly staff offered free safety box , staying 19 th floor nice city view room quiet clean , hotel just 2 blocks paradise waikiki beach numerous good reasonable priced restaurants walking distance , questions attraction shopping tips talk hotel manager lendy helpful resourceful , time provides valuable info avout pcc cove paradise dance , room got cleaned daily ample toiletie bath towels time stay , air conditioner little noisy keeps comfortably cool , elevator amazingly quick unlike reviews read , consider 19 th floor n't wait long elevator , feel secure usually come hotel 10:00 p .m . feeling scared .one suggestion hotel owner hotel needs cosemic touch e .g new carpet hallway outside elevator new paint inside room brighten room decor wall painting	4
great location best thing hotel location , door uffizi palazzo vecchio , just minutes walk duomo , fantastic , reach major attractions foot , far food shopping concerned lot options near hotel , stayed wife son march 2006 . booked room extra bed hotel checked gave bedroom apartment nice , breakfast ok served nice room , staff helpful general , unfortunately checked deal staff incompetent extremely arrogant , mistake billing pointed accused giving wrong information refused change printed , involved not attitude shocking , apart incident experience positive hotel	5
good value great area wife spent 3 nights cow hollow motor inn , located lombard st great area , close union street closer chestnut st marina district , means walking district best restaurants not mention boutiques shops .location value key words , paid 125/night reasonable plain room good san francisco , no real amenities free parking unusual city , parked rental car left buses lombard fishermans wharf union square , room gave partial view golden gate view , highlights trip walk bridge sausalito ferry , actually bused bridge really walking distance hotel .cow hollow motor inn not fancy offers great base visit san francisco breaking budget	4
worst receptionists hotel not awarded stars , yes rooms flawless lucky assigned medium sized small rooms , yes breakfast affluent yes complete hotel decoration beautiful stylish , location perfect , staff generally friendly adequate , service reception desk worst deal seen lot hotels especially spain , arrival wait hours room , time sent away given promise room certainly ready hour , time returned room not cleaned , finally complained instead getting apology treated like small children , n't mention no champagne guests select , did glass , yes suitably dressed yes know behave , leaving not possible room longer no guests arriving , finally charged 10 euro calling taxi , leaving beautiful city reception desk hotel left feeling quite uneasy	2
best hotel seattle stay seattle times month , opportunity stay hotels tripadvisor list cheap boutique , money hyatt grand best deal , nicest amenities friendly staff , hotel excellently furbished 24 hour gym	5
nice hotel paris party adults spent 3 day hotel ares mid-september , good-sized room double beds , room freshly decorated yellow walls nice white carved crown molding , large windows bedroom spacious bathroom opened interior coutyard not attractive fresh air great , paris standards bath huge , hotel located 15th just short walk eiffel tower , quiet street block shopping restaurants metro , hotel staff gracious helpful , stayed 3 star hotels paris best far , metro station great access lines , definitely stay	5
lovely lovely lovely , lost mobile phone soon arrived london , fell taxi got lost forever , hotel really proactive trying help , say , hotel gem , wonderful caring staff excellent location close tube stations finally comfortable bed , room clean lovely , hotel beautiful quaint , nothing say love parkcity , thank amazing stay	5
wonderful place stay wife stayed 3 nights absolutely loved place , room better advertised courtyard awesome , thought small breakfast buffet just fine great little outdoor area , honestly not real impressed old san juan stay forget high rise casino hotels , able walk want , problem pool small view roof night gorgeous	5
minute secret hotel hstorical gendarmenmarket stayed 5 star hilton berlin nights experience christmas markets celebrate friends birthday , allocated room 5088 looked internal courtyard quiet no view , importantly room appeared clean maintained , size room adequate luxurious touches expected hotel standard opinion poor , robes not large soft fluffy slippers small towels fact friends share towel , king size bed plus added squeaky springs single duvets , minimal tea coffee cup day mini bar , room ironing facilites , pool spa n't experience , minute room no idea breakfast like , redeeming point hotel location superb , room good price stay paying rack rate hotels far superior facilities available berlin	3
home away home 2nd adventure island vieques , island holds hidden treasures main reason decided visit partically atmosphere created mark staff , ricky orlando lawrence desk wonderful ladies quietly sweep sand towels leave , smile suggestion , way advice dinner topocia meal incredible-do prepared island time service worth wait , mark things week time , makes sure gear cooler beverages towels day adventure , just , does n't better , needs luxury hotel crowded tour bus enjoy personalized stay casa alta vista	5
clean safe friendly husband celebrated 10th wedding anniversary first-time trip london paris brussels , searching hotel paris looked www .tripadvisor .com advice , sure glad did , picked hotel france albion based favorable reviews posted site , booking breeze , went hotel website responded quickly , plans changed arrival date , fabulous fabienne assured no problem no extra charge , kelly hotel plenty friendly competent staff helped complete tourist visa requirements faxing confirmation booking directly french embassy manila supplied copy travel agent , doubt hotels that .the room small clean , requested non-smoking room exactly gave , stayed double room bath upper floor , looking window bonus glimpse eiffel tower , did look past tin roofs not exactly pleasing eye long gazed upward eiffel view okay , used in-room safe did not leave valuables felt secure protected , morning leave room key desk fabienne weather forecast day , come sightseeing past 11pm , felt unsafe walking meters st . georges metro station hotel , skipped breakfast option instead bought delicious croissants , boulangerie short distance notre dame lorette metro station , narrow street church , corner monop grocery mini grocery store got supply bottled water duration stay .the hotel walking distance opera montmartre area , arrived london eurostar gare du nord station just walked hotel , website said takes 15 minutes not familiar area stop times check map took 30 minutes walking easy pace , great time paris thanks wonderful hotel , stay returned paris , definitely	4
great hotel hotel nice room really comfortable clean , location pretty good blocks pike place market waterfront , definitely stay seattle	5
boring went celebrate 36th wedding anniversary , absolutely nothing did not want hang pool play golf , balcony faced balconies residents no scenery drove sedona , parallel parking incline highlight day , not cup tea	3
solid business hotel stayed hotel nights la , overall service good rooms clean spacious location great business century city hollywood bel air hollywood locations .there downsides hotel , lighting bathrooms horrible , lights bathroom really dark , management tried help putting wall-sized mirrors bathtub did n't help significantly , really wants mirror location , bathtub shallow like relax soaking tub end busy day wo n't cut , towels nice fluffy quality amenities .the spa letdown , walked simple manicure , women sitting desk promised confirm time day , no came 2:15pm following day asking running late , huh , no-one called confirm appointment tried charge , room service food good , quick delivery food tasty hot .the valet service speedier wait 5 minutes car brought , big plus , overall solid business hotel better spots close prefer	2
best hotel san francisco stayed vitale 3 nightsafter couple hotels wanted stay blessing disguise , fleet week beautiful weather city packed rafters , location perfect opposite marketplace , fantastic bar buzzing reasonably priced hotel bar .photos room n't justice colours materials used quality , fantastic bed linen plus lovely tolietries , rooms fantastic size sfo standards plus great turndown service , eaten previous stay food good noisy attached busy bar area .only criticism not squuezing small lap pool amazing roof , ca n't wait stay	5
lost laptop checkout lobby lax security hotel okay staff friendly , beware , hotel no security , not believe watching security video person street walked inside walked away laptop checking , easy outsiders hotel no belldesk help luggage checkout , location great barcelona rocks ..hotel staff casual reported incident n't feel responsibility	2
wonderful smalll hotel husband stayed hotel residence henri iv february 2008 . nice located small hotel , early booking discounted rated 3 nights 549 .00 euros total , called room__Ç included small living room futon couch small table 2 chairs good size separate bedroom nice tv plugged ipod watched favorites , photos shown web photos trip advisor represented hotel accurately , small kitchenette microwave fine snacks small refrigerator good beverages cheeses , bathroom clean good size shower curtain , rooms large windows open small step-out balcony good view , hotel quiet english speaking staff helpful , suggest continental breakfast delivered room , having petit dejeuner delivered comes hot-hot coffee steamed milk basket breads croissants butter jam orange juice , makes stop moment day sight seeing sit cute table look windows feel like parisian , day did not breakfast hotel save 10 euros going croissants coffee corner fabulous famous kayser cafÄ bakery just corner busy just kept running stopped till lunch , room breakfast treat , hotel perfect location , close markets restaurants metro__Ç_é_ buses taxi stands , hotel walking distance good restaurants , suggest christophe restaurant 8 rue descartes good bistro meal , suggest pudlo paris restaurant guide gilles pudlowski great reference guide accurate reviews time 2007 translated english .make sure booking hotel residence summer air-conditioning , don__Ç_é_ air-conditioning problem rooms stuffy open windows , february discounted price great hotel	4
just okay vacationed barcelona 4 days stayed gran torre catalunya , reviews fairly accurate , hotel close metro clean friendly staff , mind hotel not unique no character whatsoever , walls inside room noisy , disturbance caused cleaning staff makes difficult sleep , hotel close major train stations lot traffic noise sirens , hear room 22 stories high , price makes hotel attractive main reasons ranked high tripadvisor , think better far location , recommend staying barri gothic region city , desk knowledgeable gives great suggestions tapas bars siteseeing shopping , strongly suggest staying hotel 2nd choice	3
hotel inglaterra carrer pelai 14 stayed www .hotel-inglettera .com tuesday september 4 friday september 7 2007 .unbeatable location las ramblas placa catalunya .very smart appointed hotel superior fittings super bedroom , nice terrace overlooking city .outstandingly good breakfast nice people .bought package including breakfast tickets city tour bus essential order use time effectively , highly recommended , middle priced going wonderful city remember stay sights .apart antonio gaudi strongly recommend visiting maritime roman history museums- marvellous	5
best location hong kong stayed intercontinental hk used regent second time march 2006 . time 1985 just incredible remembered better , people think peninsula hotel street , having best location disagree , view rooms intercontinental floor ceiling windows facing incredible view active harbour central district water , 24 hour butler service amazing concierge helpful reservations directions , hotel pick airport worh 100 16 hr flight jfk cathay pacific course , rooms magnificent restaurants , breakfast buffet best world , lacking nothing , tea lobby , hong kong extremely easy city navigate mtr clean efficient safe use , tst stop just short walk hotel , yes hotel expensive worth , complaint charge 20 day internet connection , ridiculous , hong kong , heartbeat , return intercontinental , absolutely	5
perfection park , bryant park hotel oasis inside city , located beautiful bryant park midtown great location amenities premium brand hotel comfort ambiance boutique hotel , picky comes hotels gets gets marks board , staff friendly courteous ball , rooms stayed junior king suite beautifully appointed extremely spacious packed great molton brown amenities gorgeous towels great bathroom fixtures , wood floors welcome relief typical dusty carpets hotels , room quiet heard person hallway , room designed minimilist approach meaning wo n't heavy ornate furniture compliments overall aesthetics perfectly , nyc hotels tricky best known ones disappointing , bryant park hotel perfect anecdote tired big convention-style hotels leery smaller unknown boutique hotels , highly recommend plan stay	5
fun factor fades fast stayed times recently weeks ago , qt tiny rooms fun charming cheap 200/night charm fades fast costs 100/night , 7am jackhammer door did n't help lot ongoing construction project not sure like qt going stay competitive current rates need upgrade bit , things room needed kind kind , towel hook rack better place clothes cheap plastic drawers thermometer control heating/ac works bathrobes staff breakfast	3
wonderfull family spent june 19 26 tropical possible there .it great tripidation went having read reviews .this 5th trip dr 3rd different hotel encouraged brother bring family .it going 1st trip , restaurant staff chambermaid absulutely beautifull people greeting happy hola , wears tags effort respond smiles rushing about .we buffet food good different theme nite dessert bar untouchable supply delicous tropical fruit unending , try like	5
great location nice bright clean newly decoreated hotel , day staff really helpful guy s evening , mind miss quirky paris 2 star hotels past sloping floors toilets situated opened room door not mention steaming cisterns toilet pipe shower , nothing memorable place strong euro worked having paid 1 night booking remainder paid check room cost night booked , c'est la vie	4
